0.706,0
1.412,1
2.118,2
2.824,1
3.529,0
4.235,1
4.941,2
5.647,1
6.353,0
7.059,1
7.765,2
8.471,1
9.176,0
9.882,1
10.588,2
11.294,1
12.000,0
12.706,1
13.412,2
14.118,1
14.824,0
15.529,1
16.235,2
16.941,1
17.647,0
18.353,1
19.059,2
19.765,1
20.471,0
21.176,1
21.882,2
22.588,1
23.294,0
24.000,1
24.706,2
25.412,1
26.118,0
26.824,1
27.529,2
28.235,1
28.941,0
29.647,1
30.353,2
31.059,1
31.765,0
32.471,1
33.176,2
33.882,1
34.588,0
35.294,1
36.000,2
36.706,1
37.412,0
38.118,1
38.824,2
39.529,1
40.235,0
40.941,1
41.647,2
42.353,1
43.059,0
43.765,1
44.471,2
45.176,1
45.882,0
46.588,1
47.294,2
48.000,1
48.706,0
49.412,1
50.118,2
50.824,1
51.529,0
52.235,1
52.941,2
53.647,1
54.353,0
55.059,1
55.765,2
56.471,1
57.176,0
57.882,1
58.588,2
59.294,1
60.000,0
60.706,1
61.412,2
62.118,1
62.824,0
63.529,1
64.235,2
64.941,1
65.647,0
66.353,1
67.059,2
67.765,1
68.471,0
69.176,1
69.882,2
70.588,1
71.294,0
72.000,1
72.706,2
73.412,1
74.118,0
74.824,1
75.529,2
76.235,1
76.941,0
77.647,1
78.353,2
79.059,1
79.765,0
80.471,1
81.176,2
81.882,1
82.588,0
83.294,1
84.000,2
84.706,1
85.412,0
86.118,1
86.824,2
87.529,1
88.235,0
88.941,1
89.647,2
90.353,1
91.059,0
91.765,1
92.471,2
93.176,1
93.882,0
94.588,1
95.294,2
96.000,1
96.706,0
97.412,1
98.118,2
98.824,1
99.529,0
100.235,1
100.941,2
101.647,1
102.353,0
103.059,1
103.765,2
104.471,1
105.176,0
105.882,1
106.588,2
107.294,1
108.000,0
108.706,1
109.412,2
110.118,1
110.824,0
111.529,1
112.235,2
112.941,1
113.647,0
114.353,1
115.059,2
115.765,1
116.471,0
117.176,1
117.882,2
118.588,1
119.294,0
120.000,1
120.706,2
121.412,1
122.118,0
122.824,1
123.529,2
124.235,1
124.941,0
125.647,1
126.353,2
127.059,1
127.765,0
128.471,1
129.176,2
129.882,1
130.588,0
131.294,1
132.000,2
132.706,1
133.412,0
134.118,1
134.824,2
135.529,1
136.235,0
136.941,1
137.647,2
138.353,1
139.059,0
139.765,1
140.471,2
141.176,1
141.882,0
142.588,1
143.294,2
144.000,1
144.706,0
145.412,1
146.118,2
146.824,1
147.529,0
148.235,1
148.941,2
149.647,1
150.353,0
151.059,1
151.765,2
152.471,1
153.176,0
153.882,1
154.588,2
155.294,1
156.000,0
156.706,1
157.412,2
158.118,1
158.824,0
159.529,1
160.235,2
160.941,1
161.647,0
162.353,1
163.059,2
163.765,1
164.471,0
165.176,1
165.882,2
166.588,1
167.294,0
168.000,1
168.706,2
169.412,1
170.118,0
170.824,1
171.529,2
172.235,1
172.941,0
173.647,1
174.353,2
175.059,1
175.765,0
176.471,1
177.176,2
177.882,1
178.588,0
179.294,1
180.000,2
180.706,1
181.412,0
182.118,1
182.824,2
183.529,1
184.235,0
184.941,1
185.647,2
186.353,1
187.059,0
187.765,1
188.471,2
189.176,1
189.882,0
190.588,1
191.294,2
192.000,1
192.706,0
193.412,1
194.118,2
194.824,1
195.529,0
196.235,1
196.941,2
197.647,1
198.353,0
199.059,1
199.765,2
200.471,1
201.176,0
201.882,1
202.588,2
